Product,Special treatment
Asphalt Materials,
Stones,
Wood,
Furniture,
Food,fridge
Petroil,fluid
Automotive Parts,
Cars,
Ceramic,
Chemicals,
Fluid Chemicals,fluid
Fridge Chemicals,fridge
Icy Chemicals,fluid fridge
Glass,
Minerals,
Wire and Cables,
Plastic Waste,
Metal,
Paper,
Textiles,
Wax,fuid
Clothes,
Electronic Parts,
Electronics,
Toys,
Biofuel,fluid
Coal,
Gas,fluid
Oil,fluid
Crops,
Wheat,
Ice Cream,fridge
Meat,fridge
Alcohol,fluid
Alcohol in Glass,
Flowers,
Vegetables,
Fruits,
Water,fluid
Dairy Products,fluid
Medicine,
Books,
